package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.rng.core,23,369,0.1270177919170496,0.2540355838340992,0.9300547896783316,1.0,0.23626701149363527,0.33212996389891697
org.apache.commons.rng.core.source64,5,86,0.34186046511627904,0.6837209302325581,0.8114911080711354,1.0,0.554833455285846,0.4098360655737705
org.apache.commons.rng.core.source32,13,196,0.1707221350078493,0.34144427001569855,0.8859236002093145,1.0,0.30249353696314896,0.3706293706293706
org.apache.commons.rng.core.util,1,123,1.0,0.0,0.0,1.0,0.0,-1
