package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
nl.tudelft.jpacman.npc.ghost,8,10,0.3125,0.625,0.8,0.5,0.25,0.6666666666666666
nl.tudelft.jpacman.level,7,17,0.4117647058823529,0.8235294117647058,0.6764705882352942,0.5714285714285714,0.31833910034602075,0.8888888888888888
nl.tudelft.jpacman.ui,6,1,1.0,0.0,0,0.16666666666666666,0.0,0.0
nl.tudelft.jpacman.board,7,25,0.4114285714285714,0.8228571428571428,0.8733333333333333,1.0,0.7186285714285714,0.25
nl.tudelft.jpacman,40,41,0.12439024390243902,0.24878048780487805,0.9243902439024391,0.475,0.10923587150505651,0.4642857142857143
nl.tudelft.jpacman.game,3,1,1.0,0.0,0,0.3333333333333333,0.0,0.0
nl.tudelft.jpacman.sprite,5,17,0.5411764705882353,0.9176470588235295,0.7647058823529411,1.0,0.7017301038062284,0.0
nl.tudelft.jpacman.npc,9,10,0.3,0.6,0.8,0.4444444444444444,0.21333333333333332,0.6666666666666666
nl.tudelft.jpacman.cucumber,1,0,0,0.0,0,0,0.0,-1
