package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.collections4.bag,18,597,0.23310999441652708,0.46621998883305416,0.9447404809281306,1.0,0.44045689646844727,0.0
org.apache.commons.collections4.collection,13,6623,0.09777117039686872,0.19554234079373745,0.4720841627428609,0.9230769230769231,0.08521148513943759,2.7824100513992005
org.apache.commons.collections4.functors,56,1850,0.020627413127413126,0.04125482625482624,0.6554263078654642,0.9642857142857143,0.026073802080480837,7.726415094339623
org.apache.commons.collections4.comparators,8,2003,0.23764353469795307,0.47528706939590615,0.58573927320807,1.0,0.27839430259315157,0.10969529085872576
org.apache.commons.collections4.list,16,1126,0.14120781527531084,0.2824156305506217,0.8339988158673771,0.9375,0.22081340762030355,0.2927669345579793
org.apache.commons.collections4.map,44,5715,0.07721705241390281,0.15443410482780562,0.9362300573471368,0.9772727272727273,0.14129980875521544,0.016
org.apache.commons.collections4,320,13238,0.019873895225864933,0.039747790451729825,0.9929054498370001,0.928125,0.03662919354460931,0.08686371100164203
org.apache.commons.collections4.iterators,50,4934,0.03922578029995946,0.07845156059991898,0.8396897839233816,1.0,0.06587497396859804,0.46322657176749704
org.apache.commons.collections4.keyvalue,9,2537,0.17474707659965838,0.34949415319931676,0.6155513541541029,1.0,0.21513159927078093,2.139851485148515
org.apache.commons.collections4.multiset,8,400,0.443125,0.88625,0.7500877192982456,0.75,0.4985739309210526,0.0
org.apache.commons.collections4.set,22,3310,0.11719307882449877,0.2343861576489975,0.6834912383054912,0.9545454545454546,0.15291902671803487,0.26868532004599466
org.apache.commons.collections4.trie,6,1000,0.8968333333333334,0.20633333333333326,0.47215015015015016,0.3333333333333333,0.03247343810477142,0.0
org.apache.commons.collections4.splitmap,3,8,0.75,0.5,0.4285714285714286,0.6666666666666666,0.14285714285714285,0.0
org.apache.commons.collections4.sequence,7,6,0.9047619047619048,0.19047619047619047,0.5333333333333333,0.2857142857142857,0.02902494331065759,0.0
org.apache.commons.collections4.multimap,8,992,0.4938256048387097,0.9876512096774194,0.7508971875915498,0.875,0.6489214512096455,0.0
org.apache.commons.collections4.queue,6,149,0.20246085011185683,0.40492170022371365,0.7541266098313079,0.8333333333333334,0.25446852419736526,3.806451612903226
org.apache.commons.collections4.bidimap,12,3512,0.2380172741078208,0.4760345482156416,0.7759091342601093,0.9166666666666666,0.33857959133524235,0.10649023314429741
org.apache.commons.collections4.trie.analyzer,1,1000,1.0,0.0,0.0,1.0,0.0,-1
