package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.text.beta,61,465,0.034232328573946764,0.06846465714789352,0.9144883203559511,0.8360655737704918,0.052346173692870215,1.0575221238938053
org.apache.commons.text.beta.translate,16,56,0.21651785714285715,0.4330357142857143,0.9525974025974026,1.0,0.41250869666048234,0.09803921568627451
org.apache.commons.text.beta.similarity,18,105,0.06931216931216931,0.13862433862433865,0.797985347985348,0.8333333333333334,0.09218349258031801,3.375
org.apache.commons.text.beta.diff,9,5,0.7777777777777778,0.4444444444444444,0.8,0.3333333333333333,0.11851851851851852,0.0
