package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
com.google.inject.internal,103,797,0.44051114007625686,0.8810222801525137,0.9928784449222272,0.6699029126213593,0.5859962540846284,0.06693440428380187
com.google.inject.spi,41,734,0.21931281983119558,0.4386256396623911,0.9051748813245555,1.0,0.3970329113273121,0.01662049861495845
com.google.inject,211,819,0.2867732583372394,0.5735465166744788,0.9983491108185485,0.7962085308056872,0.45590872999567295,0.01486988847583643
com.google.inject.internal.util,6,717,0.6280799628079963,0.7438400743840075,0.5111692885470964,1.0,0.3802282016156924,0.015580736543909348
com.google.inject.multibindings,6,121,0.1859504132231405,0.371900826446281,0.7254820936639119,0.8333333333333334,0.22483949183798924,10.0
com.google.inject.matcher,3,627,0.6634768740031898,0.6730462519936204,0.018985890517755344,1.0,0.012778382453736453,0.00966183574879227
com.google.inject.name,4,206,0.5121359223300971,0.9757281553398058,0.12971820980345727,1.0,0.12656970956550928,0.00980392156862745
com.googlecode.guice,3,23,0.391304347826087,0.782608695652174,0.6205533596837944,1.0,0.4856504554047087,4.75
com.google.inject.util,6,738,0.23238482384823847,0.4647696476964769,0.5741764201902535,1.0,0.2668597725274484,1.7232472324723247
