parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.validator.routines.checkdigit,14,141,10,131,0.16818642350557245,0.3363728470111449,0.932725430597771,1.0,0.31374350856986827
org.apache.commons.validator,68,511,61,450,0.07378841947737999,0.14757683895476004,0.9787345075016308,0.9411764705882353,0.135942159805209
org.apache.commons.validator.routines,40,388,50,338,0.06829896907216494,0.13659793814432986,0.9763046431711021,1.0,0.13336120125790824
org.apache.commons.validator.util,2,115,115,0,0.5,1.0,0.22883295194508013,1.0,0.22883295194508013
