class_name,num_of_transactions,normalized_density,diversity,uniqueness,ddu,average_effort
org.jsoup.helper.DataUtil,2,0.37681159420289856,1.0,0.043478260869565216,0.01638311279143037,7.4366964285714285
org.jsoup.helper.DataUtil,3,0.36714975845410636,1.0,0.057971014492753624,0.021284043968353993,7.578125000000002
org.jsoup.helper.DataUtil,4,0.3188405797101449,1.0,0.07246376811594203,0.023104389834068473,7.464732142857143
org.jsoup.helper.DataUtil,5,0.27826086956521734,1.0,0.08695652173913043,0.02419659735349716,7.415089285714286
org.jsoup.helper.DataUtil,6,0.28019323671497587,1.0,0.10144927536231885,0.028425400826156973,7.407857142857144
org.jsoup.helper.DataUtil,7,0.31055900621118004,1.0,0.13043478260869565,0.04050769646232783,7.352946428571428
org.jsoup.helper.DataUtil,8,0.30434782608695654,1.0,0.14492753623188406,0.04410838059231254,7.30419642857143
org.jsoup.helper.DataUtil,9,0.3413848631239935,1.0,0.2028985507246377,0.06926649396718709,7.297142857142857
org.jsoup.helper.DataUtil,10,0.32463768115942027,0.9777777777777777,0.2028985507246377,0.06440477023967887,7.260357142857143
org.jsoup.helper.DataUtil,11,0.3162055335968379,0.9818181818181818,0.2318840579710145,0.07198987642362792,7.246607142857142
org.jsoup.helper.HttpConnection,2,0.045592705167173286,1.0,0.0121580547112462,0.0005543186038562102,9.644978434996919
org.jsoup.helper.HttpConnection,3,0.046605876393110424,1.0,0.015197568389057751,0.0007082959938162678,9.671873074553298
org.jsoup.helper.HttpConnection,4,0.04407294832826747,1.0,0.02127659574468085,0.0009377223048567546,9.66879235982748
org.jsoup.helper.HttpConnection,5,0.04984802431610946,1.0,0.030395136778115502,0.0015151375172069747,9.667714109673446
org.jsoup.helper.HttpConnection,6,0.05369807497467072,1.0,0.03343465045592705,0.0017953763669342792,9.659550215650032
org.jsoup.helper.HttpConnection,7,0.05644811115935733,1.0,0.0364741641337386,0.0020588976714659207,9.649568699938387
org.jsoup.helper.HttpConnection,8,0.07294832826747721,1.0,0.03951367781155015,0.002882456740052291,9.703820086260013
org.jsoup.helper.HttpConnection,9,0.0871327254305978,1.0,0.0486322188449848,0.004237457771700805,9.724892174984596
org.jsoup.helper.HttpConnection,10,0.08328267477203644,1.0,0.05167173252279635,0.004303360094603707,9.722920517560075
org.jsoup.helper.HttpConnection,11,0.08068527217463384,1.0,0.057750759878419454,0.004659635779082198,9.734966112138016
org.jsoup.helper.HttpConnection,12,0.08459979736575485,1.0,0.06382978723404255,0.0053999870658992455,9.760135551447936
org.jsoup.helper.HttpConnection,13,0.09305588028992284,1.0,0.0729483282674772,0.0067882709026083525,9.749630314232903
org.jsoup.helper.HttpConnection,14,0.09031697785497173,1.0,0.07598784194528875,0.006862992238219736,9.733271719038816
org.jsoup.helper.HttpConnection,15,0.09766970618034443,1.0,0.0790273556231003,0.007718578603917796,9.72985212569316
org.jsoup.helper.HttpConnection,16,0.0957446808510638,1.0,0.08206686930091185,0.007857466209661771,9.758533579790512
org.jsoup.helper.HttpConnection,17,0.09511889862327916,1.0,0.08814589665653495,0.008384340608130989,9.782131854590265
org.jsoup.helper.HttpConnection,18,0.0928740290442418,1.0,0.0911854103343465,0.008468756447803203,9.769685767097965
org.jsoup.helper.HttpConnection,19,0.09822428411454165,1.0,0.1033434650455927,0.010150837872019501,9.74139725380957
org.jsoup.helper.StringUtil,2,0.14814814814814814,1.0,0.05555555555555555,0.008230452674897118,3.640350877192982
org.jsoup.helper.StringUtil,3,0.19753086419753085,1.0,0.07407407407407407,0.014631915866483765,3.640350877192982
org.jsoup.helper.StringUtil,4,0.2407407407407407,1.0,0.09259259259259259,0.02229080932784636,3.640350877192982
org.jsoup.helper.StringUtil,5,0.24444444444444446,1.0,0.1111111111111111,0.027160493827160494,3.640350877192982
org.jsoup.helper.StringUtil,6,0.25308641975308643,1.0,0.12962962962962962,0.03280749885688157,3.640350877192982
org.jsoup.helper.StringUtil,7,0.26984126984126977,0.9523809523809523,0.12962962962962962,0.03331373701744071,3.640350877192982
org.jsoup.helper.StringUtil,8,0.27314814814814814,0.9642857142857143,0.14814814814814814,0.03902116402116402,3.640350877192982
org.jsoup.helper.W3CDom,2,0.2571428571428571,1.0,0.11428571428571428,0.02938775510204081,9.726099426386233
org.jsoup.helper.W3CDom,3,0.4190476190476191,1.0,0.14285714285714285,0.0598639455782313,9.884399858421029
org.jsoup.helper.W3CDom,4,0.3857142857142857,1.0,0.17142857142857143,0.06612244897959182,9.793034351145039
org.jsoup.nodes.Attribute,2,0.1470588235294118,0.0,0.014705882352941176,0.0,4.5
org.jsoup.nodes.Attributes,2,0.17708333333333337,1.0,0.041666666666666664,0.007378472222222224,17.340866666666667
org.jsoup.nodes.Attributes,3,0.38888888888888884,1.0,0.0625,0.024305555555555552,17.34268166888593
org.jsoup.nodes.Attributes,4,0.30208333333333326,1.0,0.08333333333333333,0.025173611111111105,17.358409404907277
org.jsoup.nodes.Attributes,5,0.2666666666666666,1.0,0.09375,0.024999999999999994,17.38953466533045
org.jsoup.nodes.Document,2,0.26956521739130435,1.0,0.034782608695652174,0.009376181474480152,7.339853658536585
org.jsoup.nodes.Document,3,0.21449275362318843,1.0,0.05217391304347826,0.01119092627599244,7.394878048780488
org.jsoup.nodes.Document,4,0.19565217391304346,1.0,0.0782608695652174,0.015311909262759923,7.393024390243902
org.jsoup.nodes.Document,5,0.24347826086956526,1.0,0.11304347826086956,0.02752362948960303,7.422390243902439
org.jsoup.nodes.Document,6,0.24347826086956526,1.0,0.1391304347826087,0.033875236294896034,7.440634146341464
