class,percentage
org.jsoup.nodes.Element,0.25749999999999995
com.google.inject.Asserts,0.24250000000000002
org.apache.commons.io.input.ProxyReader,0.1925
com.google.inject.Scopes,0.19
org.jsoup.parser.Parser,0.18000000000000002
org.apache.commons.io.FileUtils,0.17499999999999996
org.apache.commons.io.input.Tailer,0.16999999999999998
org.apache.commons.io.FilenameUtils,0.165
org.apache.commons.csv.CSVRecord,0.16499999999999998
org.apache.commons.io.monitor.FileEntry,0.135
org.apache.commons.io.EndianUtils,0.13499999999999995
org.apache.commons.io.CopyUtils,0.1275
org.apache.commons.io.filefilter.FileFilterUtils,0.1275
org.jsoup.Jsoup,0.11250000000000002
org.jsoup.helper.HttpConnection,0.09750000000000003
org.apache.commons.io.output.LockableFileWriter,0.08750000000000001
org.apache.commons.text.beta.StrBuilder,0.08750000000000001
org.apache.commons.io.IOCase,0.0875
org.apache.commons.io.IOUtils,0.08
com.google.inject.internal.State,0.07750000000000001
com.google.inject.PrivateModule,0.07000000000000002
org.jsoup.select.Elements,0.06750000000000002
org.apache.commons.io.input.SwappedDataInputStream,0.04500000000000002
org.apache.commons.text.beta.StringEscapeUtils,0.04250000000000002
org.apache.commons.io.input.BoundedInputStream,0.01
