class,average_wasted_effort,erroneous_matrices
com.google.inject.spi.Elements,0.2299019607843137,0.6
com.google.inject.internal.ProviderMethodsModule,0.22884615384615387,0.95
org.jsoup.parser.HtmlTreeBuilder,0.22578125,0.75
com.google.inject.internal.MembersInjectorImpl,0.225,0.85
com.google.inject.internal.RealOptionalBinder,0.2244318181818182,0.85
org.apache.commons.io.DirectoryWalker,0.22166666666666668,0.8
org.apache.commons.io.FileCleaningTracker,0.2204545454545454,0.75
com.google.inject.internal.LinkedBindingImpl,0.2194444444444444,0.65
org.apache.commons.csv.CSVPrinter,0.21818181818181817,0.7
com.google.inject.internal.ProviderMethod,0.21666666666666665,0.8
org.apache.commons.io.input.ProxyInputStream,0.2145833333333333,0.65
com.google.inject.internal.util.StackTraceElements,0.21333333333333332,0.8
com.google.inject.spi.Message,0.20750000000000002,0.75
org.apache.commons.io.output.ProxyOutputStream,0.20625,0.85
org.apache.commons.csv.Lexer,0.2039473684210526,1.0
com.google.inject.internal.ConstructionContext,0.2,1.0
com.google.inject.internal.PrivateElementsImpl,0.19999999999999993,0.9
com.google.inject.internal.InjectorImpl,0.19923076923076924,0.75
org.jsoup.safety.Cleaner,0.19444444444444442,0.95
org.apache.commons.text.beta.StrTokenizer,0.19056603773584907,0.8
org.apache.commons.io.output.ProxyWriter,0.19038461538461537,0.7
com.google.inject.TypeLiteral,0.19027777777777777,0.9
com.google.inject.internal.AbstractBindingProcessor,0.19,1.0
org.apache.commons.io.monitor.FileAlterationListenerAdaptor,0.1875,0.95
org.apache.commons.io.input.BOMInputStream,0.18666666666666668,0.8
org.jsoup.parser.HtmlTreeBuilderState,0.18529411764705878,0.8
org.jsoup.safety.Whitelist,0.18409090909090914,0.8
org.jsoup.helper.StringUtil,0.18124999999999997,0.75
com.google.inject.internal.ConstructorInjector,0.175,1.0
com.google.inject.internal.ProviderInstanceBindingImpl,0.17045454545454544,0.75
org.jsoup.parser.Tokeniser,0.1701219512195122,0.8
com.google.inject.internal.RealMultibinder,0.1651515151515151,1.0
com.google.inject.internal.AbstractBindingBuilder,0.16363636363636364,0.85
com.google.inject.spi.ProviderLookup,0.1604166666666667,0.9
com.google.inject.spi.MembersInjectorLookup,0.15749999999999997,0.95
com.google.inject.internal.RealElement,0.15625,1.0
org.jsoup.parser.CharacterReader,0.14785714285714285,0.9
org.jsoup.helper.Validate,0.14545454545454542,0.95
com.google.inject.internal.MoreTypes,0.14351851851851855,1.0
com.google.inject.internal.Scoping,0.14285714285714285,0.95
com.google.inject.internal.InternalContext,0.1388888888888889,0.95
com.google.inject.spi.Dependency,0.1365384615384615,0.85
com.google.inject.internal.InheritingState,0.1352272727272727,1.0
org.apache.commons.csv.ExtendedBufferedReader,0.12222222222222223,0.95
