parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.io.filefilter.TrueFileFilter,3,22,2.6666666666666665,0.48484848484848486,0.9696969696969697,0.7142857142857143,1.0,0.6926406926406927
org.apache.commons.io.serialization.ValidatingObjectInputStream,12,21,0.0,0.39285714285714285,0.7857142857142857,0.9571428571428572,0.8333333333333334,0.6267006802721089
org.apache.commons.io.monitor.FileAlterationObserver,23,11,0.0,0.5019762845849802,0.9960474308300395,0.9272727272727272,0.43478260869565216,0.4015685294255495
org.apache.commons.io.comparator.PathFileComparator,7,8,0.6,0.30357142857142855,0.6071428571428571,0.9642857142857143,0.7142857142857143,0.4181851311953353
org.apache.commons.io.FileSystemUtils,13,28,0.0,0.28296703296703296,0.5659340659340659,0.835978835978836,0.6923076923076923,0.3275369319325363
org.apache.commons.io.input.NullReader,15,9,0.0,0.37777777777777777,0.7555555555555555,1.0,0.7333333333333333,0.554074074074074
org.apache.commons.io.input.ReaderInputStream,12,8,0.0,0.5729166666666666,0.8541666666666667,0.8214285714285714,0.5833333333333334,0.4092881944444445
org.apache.commons.io.output.ProxyWriter,14,21,0.0,0.35714285714285715,0.7142857142857143,0.9952380952380953,0.9285714285714286,0.6601068999028183
org.apache.commons.io.filefilter.NameFileFilter,9,25,0.7857142857142857,0.29333333333333333,0.5866666666666667,0.7933333333333333,1.0,0.46542222222222224
org.apache.commons.io.serialization.MockSerializedClass,3,18,1.25,0.48148148148148145,0.9629629629629629,0.522875816993464,1.0,0.503510045993706
org.apache.commons.io.input.BoundedReader,6,12,0.0,0.6527777777777778,0.6944444444444444,0.8333333333333334,0.8333333333333334,0.4822530864197531
org.apache.commons.io.input.BrokenInputStream,7,6,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666
org.apache.commons.io.comparator.NameFileComparator,7,14,0.2727272727272727,0.29591836734693877,0.5918367346938775,0.6923076923076923,0.7142857142857143,0.29266651715631303
org.apache.commons.io.filefilter.DirectoryFileFilter,2,22,21.0,0.5227272727272727,0.9545454545454546,0.09090909090909094,1.0,0.08677685950413226
org.apache.commons.io.serialization.RegexpClassNameMatcher,3,6,0.2,0.7222222222222222,0.5555555555555556,0.7333333333333334,1.0,0.40740740740740744
org.apache.commons.io.output.ByteArrayOutputStream,17,236,0.0,0.269690927218345,0.53938185443669,0.9222502704652001,0.9411764705882353,0.4681835869536551
org.apache.commons.io.TaggedIOException,5,5,0.0,0.68,0.6399999999999999,0.8,0.8,0.40959999999999996
org.apache.commons.io.filefilter.AgeFileFilter,8,1,0.0,1.0,0.0,0,0.125,0.0
org.apache.commons.io.input.compatibility.XmlStreamReaderException,3,7,0.0,0.9047619047619048,0.19047619047619047,0.47619047619047616,0.6666666666666666,0.060468631897203313
org.apache.commons.io.comparator.SizeFileComparator,7,16,0.3333333333333333,0.26785714285714285,0.5357142857142857,0.6916666666666667,0.7142857142857143,0.26466836734693877
org.apache.commons.io.input.BOMInputStream,20,64,0.015873015873015872,0.45625,0.9125,0.9141865079365079,0.7,0.5839366319444443
org.apache.commons.io.output.DeferredFileOutputStream,12,130,0.0,0.525,0.95,0.8465116279069768,0.75,0.6031395348837209
org.apache.commons.io.monitor.FileAlterationListenerAdaptor,9,11,0.5714285714285714,0.494949494949495,0.98989898989899,0.8727272727272728,0.7777777777777778,0.6719314355677993
org.apache.commons.io.SelectorAdapter,10,1,-1,0.1,0.19999999999999996,0,0.2,0.0
org.apache.commons.io.comparator.CompositeFileComparator,7,10,0.0,0.4714285714285714,0.9428571428571428,0.9777777777777777,0.8571428571428571,0.790204081632653
org.apache.commons.io.input.CountingInputStream,7,10,0.0,0.6428571428571429,0.7142857142857142,0.5111111111111111,0.42857142857142855,0.15646258503401356
org.apache.commons.io.Charsets,4,137,0.7341772151898734,0.39416058394160586,0.7883211678832117,0.5503434950622585,1.0,0.43384742676440824
org.apache.commons.io.input.TailerListenerAdapter,7,10,-1,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0
org.apache.commons.io.input.WindowsLineEndingInputStream,6,7,0.0,0.8333333333333334,0.33333333333333326,0.0,0.3333333333333333,0.0
org.apache.commons.io.output.CountingOutputStream,6,2,0.0,1.0,0.0,0.0,0.16666666666666666,0.0
org.apache.commons.io.output.ProxyOutputStream,9,71,0.4791666666666667,0.3536776212832551,0.7073552425665102,0.8245472837022133,1.0,0.5832478438707361
org.apache.commons.io.output.ChunkedOutputStream,3,3,0.5,0.6666666666666666,0.6666666666666667,1.0,1.0,0.6666666666666667
org.apache.commons.io.filefilter.MagicNumberFileFilter,6,5,0.0,0.5333333333333333,0.9333333333333333,1.0,0.8333333333333334,0.7777777777777778
org.apache.commons.io.output.StringBuilderWriter,12,66,0.0,0.33585858585858586,0.6717171717171717,0.3552447552447553,0.9166666666666666,0.21873866873866876
org.apache.commons.io.filefilter.AbstractFileFilter,4,73,1.28125,0.410958904109589,0.821917808219178,0.6183409436834094,1.0,0.508225433164446
org.apache.commons.io.FileExistsException,3,2,-1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0
org.apache.commons.io.input.DemuxInputStream,4,1,0.0,0.75,0.5,0,0.5,0.0
org.apache.commons.io.comparator.DefaultFileComparator,6,7,0.4,0.3333333333333333,0.6666666666666666,0.9523809523809523,0.8333333333333334,0.5291005291005291
org.apache.commons.io.comparator.DirectoryFileComparator,7,6,2.0,0.23809523809523808,0.47619047619047616,0.9333333333333333,0.7142857142857143,0.31746031746031744
org.apache.commons.io.input.TaggedInputStream,4,4,1.0,0.5625,0.875,0.8333333333333334,0.75,0.546875
org.apache.commons.io.filefilter.FileFileFilter,2,11,10.0,0.5454545454545454,0.9090909090909092,0.18181818181818177,1.0,0.16528925619834708
org.apache.commons.io.FileCleaner,8,9,-1,0.125,0.25,0.0,0.25,0.0
org.apache.commons.io.FileDeleteStrategy,6,17,0.0625,0.3431372549019608,0.6862745098039216,0.5073529411764706,0.8333333333333334,0.2901528258362168
org.apache.commons.io.comparator.LastModifiedFileComparator,6,7,0.4,0.3333333333333333,0.6666666666666666,0.9523809523809523,0.8333333333333334,0.5291005291005291
org.apache.commons.io.output.XmlStreamWriter,10,12,0.0,0.5083333333333333,0.9833333333333334,0.16666666666666663,0.4,0.06555555555555555
org.apache.commons.io.output.DemuxOutputStream,5,1,0.0,0.6,0.8,0,0.4,0.0
org.apache.commons.io.monitor.CollectionFileListener,16,7,0.0,0.7767857142857143,0.4464285714285714,0.9523809523809523,0.4375,0.18601190476190474
