package,number_of_components,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.lang3.builder.Diff,54,50,0.31148148148148147,0.6229629629629629,0.9918367346938776,0.7222222222222222,0.4462448979591837,0.16279069767441862
org.apache.commons.lang3.mutable.MutableShort,33,22,0.10606060606060606,0.21212121212121215,1.0,0.8181818181818182,0.1735537190082645,0.0
org.apache.commons.lang3.SerializationUtils,9,36,0.2962962962962963,0.5925925925925926,0.8825396825396825,0.8888888888888888,0.46487686981514137,0.6363636363636364
org.apache.commons.lang3.mutable.MutableLong,32,27,0.10300925925925926,0.2060185185185185,0.9943019943019943,0.90625,0.1856404403424079,0.038461538461538464
org.apache.commons.lang3.JavaVersion,9,55,0.12323232323232323,0.2464646464646465,0.1070707070707071,0.6666666666666666,0.0175927626432677,26.5
org.apache.commons.lang3.BooleanUtils,41,77,0.029141590117199873,0.05828318023439971,0.9818865345181135,1.0,0.05722746986104934,4.133333333333334
org.apache.commons.lang3.builder.HashCodeBuilder,36,50,0.1438888888888889,0.2877777777777778,0.9804081632653061,0.8611111111111112,0.24295361552028225,0.08695652173913043
org.apache.commons.lang3.reflect.MemberUtils,21,58,0.22413793103448276,0.4482758620689655,0.8475499092558983,0.5238095238095238,0.19901418230475118,0.4146341463414634
org.apache.commons.lang3.mutable.MutableFloat,34,26,0.09276018099547512,0.18552036199095023,0.9969230769230769,0.8823529411764706,0.1631907618599128,0.04
org.apache.commons.lang3.time.DateUtils,66,143,0.04789150243695698,0.095783004873914,0.973505367871565,0.8333333333333334,0.07770439116301964,0.211864406779661
org.apache.commons.lang3.TooMany,3,1,0.6666666666666666,0.6666666666666667,0,0.6666666666666666,0.0,0.0
org.apache.commons.lang3.ThreadUtils,18,27,0.2037037037037037,0.40740740740740744,0.9886039886039886,0.9444444444444444,0.38038877750811906,0.42105263157894735
org.apache.commons.lang3.ClassPathUtils,5,13,0.23076923076923078,0.46153846153846156,0.8974358974358975,1.0,0.4142011834319527,5.5
org.apache.commons.lang3.concurrent.CircuitBreakingException,4,7,0.25,0.5,0.8571428571428572,1.0,0.4285714285714286,-1
org.apache.commons.lang3.NotImplementedException,7,1,1.0,0.0,0,0.14285714285714285,0.0,0.0
org.apache.commons.lang3.time.StopWatch,24,10,0.275,0.55,1.0,0.7083333333333334,0.3895833333333334,0.0
org.apache.commons.lang3.builder.MultilineRecursiveToStringStyle,14,10,0.29285714285714287,0.5857142857142857,0.9555555555555556,0.6428571428571429,0.35979591836734703,0.0
org.apache.commons.lang3.math.Fraction,34,25,0.17529411764705882,0.35058823529411764,1.0,0.7647058823529411,0.2680968858131488,0.041666666666666664
org.apache.commons.lang3.builder.RecursiveToStringStyle,4,18,0.4305555555555556,0.8611111111111112,0.6601307189542484,1.0,0.5684458968772694,1.25
org.apache.commons.lang3.time.DateFormatUtils,17,11,0.25668449197860965,0.5133689839572193,0.8181818181818181,0.6470588235294118,0.27178357974205725,0.1
org.apache.commons.lang3.tuple.ImmutableTriple,5,16,0.8375,0.32499999999999996,0.575,0.6,0.11212499999999997,0.06666666666666667
org.apache.commons.lang3.text.translate.EntityArrays,12,4,0.2916666666666667,0.5833333333333334,1.0,0.3333333333333333,0.19444444444444445,3.0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,6,14,0.25,0.5,0.5934065934065934,0.8333333333333334,0.24725274725274726,1.8
org.apache.commons.lang3.concurrent.ConcurrentRuntimeException,3,5,0.3333333333333333,0.6666666666666666,0.8,1.0,0.5333333333333333,-1
org.apache.commons.lang3.concurrent.EventCountCircuitBreaker,29,17,0.4117647058823529,0.8235294117647058,0.9779411764705882,0.5517241379310345,0.4443383844409975,0.0
org.apache.commons.lang3.exception.ContextedRuntimeException,14,14,0.33163265306122447,0.6632653061224489,0.989010989010989,0.9285714285714286,0.6091211995002082,0.0
org.apache.commons.lang3.concurrent.AbstractCircuitBreaker,14,22,0.33766233766233766,0.6753246753246753,0.9307359307359307,0.7857142857142857,0.4938598816149837,0.29411764705882354
org.apache.commons.lang3.math.IEEE754rUtils,13,3,0.4358974358974359,0.8717948717948718,1.0,0.23076923076923078,0.20118343195266272,0.5
org.apache.commons.lang3.text.ExtendedMessageFormat,21,10,0.42857142857142855,0.8571428571428571,0.9111111111111111,0.42857142857142855,0.33469387755102037,0.0
org.apache.commons.lang3.concurrent.AtomicSafeInitializer,2,4,1.0,0.0,0.0,0.5,0.0,0.0
org.apache.commons.lang3.EnumUtils,13,34,0.17420814479638008,0.34841628959276016,0.9180035650623886,1.0,0.31984739597196343,0.36
org.apache.commons.lang3.mutable.MutableBoolean,18,9,0.18518518518518517,0.37037037037037035,1.0,0.6666666666666666,0.24691358024691357,0.125
org.apache.commons.lang3.CharSet,16,25,0.2975,0.595,0.96,0.9375,0.5355,0.13636363636363635
org.apache.commons.lang3.text.StrMatcher,20,125,0.2076,0.4152,0.9152258064516129,0.95,0.36100166709677417,0.041666666666666664
org.apache.commons.lang3.reflect.MethodUtils,26,42,0.12728937728937728,0.25457875457875456,0.9500580720092915,0.8076923076923077,0.19535217752853776,0.3125
org.apache.commons.lang3.text.translate.JavaUnicodeEscaper,6,4,0.20833333333333334,0.41666666666666674,0.5,0.5,0.10416666666666669,3.0
org.apache.commons.lang3.RandomUtils,11,33,0.11019283746556474,0.22038567493112948,0.8446969696969697,0.9090909090909091,0.16923555616267863,4.5
org.apache.commons.lang3.builder.CompareToBuilder,31,54,0.17443249701314217,0.34886499402628435,0.9797344514325647,0.967741935483871,0.33076940665777416,0.0
org.apache.commons.lang3.tuple.ImmutablePair,5,99,0.5454545454545454,0.9090909090909092,0.4469181612038755,1.0,0.40628923745806866,0.16470588235294117
org.apache.commons.lang3.text.StrLookup,7,41,0.5331010452961672,0.9337979094076656,0.44999999999999996,0.7142857142857143,0.3001493280238925,0.0
org.apache.commons.lang3.builder.ReflectionToStringBuilder,27,60,0.38950617283950617,0.7790123456790123,0.8525423728813559,0.6296296296296297,0.41816287306347993,0.01694915254237288
org.apache.commons.lang3.concurrent.ConcurrentUtils,19,46,0.11899313501144165,0.2379862700228833,0.9545893719806763,0.6842105263157895,0.1554383753965885,0.7037037037037037
org.apache.commons.lang3.mutable.MutableObject,7,26,0.3076923076923077,0.6153846153846154,0.6953846153846154,1.0,0.42792899408284024,0.08333333333333333
