parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
nl.tudelft.jpacman.ui,6,1,0,1,1.0,0.0,0,0.16666666666666666,0.0
nl.tudelft.jpacman.level,7,17,8,9,0.4117647058823529,0.8235294117647058,0.6764705882352942,0.5714285714285714,0.31833910034602075
nl.tudelft.jpacman.sprite,5,17,0,17,0.5411764705882353,0.9176470588235295,0.7647058823529411,1.0,0.7017301038062284
nl.tudelft.jpacman.game,3,1,0,1,1.0,0.0,0,0.3333333333333333,0.0
nl.tudelft.jpacman.npc.ghost,8,10,4,6,0.3125,0.625,0.8,0.5,0.25
nl.tudelft.jpacman.board,7,25,5,20,0.4114285714285714,0.8228571428571428,0.8733333333333333,1.0,0.7186285714285714
nl.tudelft.jpacman.cucumber,1,0,0,0,0,0.0,0,0,0.0
nl.tudelft.jpacman.npc,9,10,4,6,0.3,0.6,0.8,0.4444444444444444,0.21333333333333332
nl.tudelft.jpacman,40,41,13,28,0.12439024390243902,0.24878048780487805,0.9243902439024391,0.475,0.10923587150505651
