2  1.000000e+00 
13  2.169706e-19 
{5, 12}  7.024894e-23 
{12, 16}  7.024894e-23 
{10, 12}  2.508891e-23 
{12, 15}  2.508891e-23 
{12, 14}  1.475228e-23 
{12, 20}  1.475228e-23 
{3, 12}  1.475228e-23 
{6, 12}  2.005608e-26 
{11, 12}  2.005608e-26 
{1, 12}  1.003055e-26 
{12, 17}  1.002152e-26 
{12, 18}  9.449219e-27 
{4, 12}  9.446385e-27 
