parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.validator.ValidatorResources,21,112,1,111,0.7517006802721088,0.4965986394557824,0.3888352638352638,0.42857142857142855,0.08275502699700951
org.apache.commons.validator.routines.DoubleValidator,12,5,5,0,0.2833333333333333,0.5666666666666667,0.7,0.3333333333333333,0.13222222222222219
org.apache.commons.validator.ValidatorException,,,,,,,,,
org.apache.commons.validator.routines.IBANValidator,8,11,11,0,0.22727272727272727,0.4545454545454546,0.8545454545454545,0.75,0.2913223140495868
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,2,8,8,0,1.0,0.0,0.0,0.5,0.0
org.apache.commons.validator.routines.CodeValidator,6,38,7,31,0.33771929824561403,0.6754385964912281,0.7112375533428166,0.8333333333333334,0.40033107900143916
org.apache.commons.validator.routines.BigDecimalValidator,9,11,5,6,0.26262626262626265,0.5252525252525253,0.8727272727272728,0.6666666666666666,0.30560146923783293
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit,4,33,0,33,0.6439393939393939,0.7121212121212122,0.5151515151515151,0.75,0.275137741046832
org.apache.commons.validator.FormSetFactory,3,107,0,107,1.0,0.0,0.0,0.3333333333333333,0.0
org.apache.commons.validator.NameBean,6,38,0,38,0.5964912280701754,0.8070175438596492,0.8933143669985775,1.0,0.7209203663497292
org.apache.commons.validator.Msg,,,,,,,,,
org.apache.commons.validator.routines.CurrencyValidator,2,6,6,0,0.75,0.5,0.7333333333333334,1.0,0.3666666666666667
org.apache.commons.validator.ValueBean,2,55,0,55,0.9,0.19999999999999996,0.32592592592592595,1.0,0.06518518518518518
org.apache.commons.validator.routines.PercentValidator,2,3,3,0,0.8333333333333334,0.33333333333333326,0.6666666666666667,1.0,0.2222222222222222
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit,2,7,7,0,0.8571428571428571,0.2857142857142858,0.47619047619047616,1.0,0.13605442176870752
org.apache.commons.validator.routines.checkdigit.CheckDigitException,,,,,,,,,
org.apache.commons.validator.util.ValidatorUtils,4,100,0,100,0.2725,0.545,0.1836363636363636,0.75,0.07506136363636363
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,3,8,6,2,0.6666666666666666,0.6666666666666667,0.6071428571428572,1.0,0.4047619047619048
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit,1,21,6,15,1.0,0.0,0.0,1.0,0.0
org.apache.commons.validator.routines.checkdigit.ABANumberCheckDigit,1,6,6,0,1.0,0.0,0.0,1.0,0.0
org.apache.commons.validator.ResultPair,,,,,,,,,
org.apache.commons.validator.routines.checkdigit.EAN13CheckDigit,1,17,6,11,1.0,0.0,0.0,1.0,0.0
