parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.wicket.markup.MarkupStream,33,828,0,828,0.42555994729907776,0.8511198945981555,0.8507585183627453,0.696969696969697,0.5046740154842365
org.apache.wicket.protocol.http.mock.MockHttpServletRequest,112,1442,10,1432,0.24629730532989896,0.4925946106597979,0.8007162925268609,0.38392857142857145,0.15143238219417604
org.apache.wicket.protocol.http.AbstractRequestLogger,27,234,1,233,0.051756885090218425,0.10351377018043684,0.6729760463666044,0.18518518518518517,0.012900423666765127
org.apache.wicket.markup.html.form.Form,173,302,36,266,0.3201202005895188,0.6402404011790376,0.9912213152625905,0.5953757225433526,0.37783730087697237
org.apache.wicket.Application,106,1589,8,1581,0.5397366327463576,0.9205267345072847,0.9635030190240523,0.44339622641509435,0.39326154269939334
org.apache.wicket.validation.validator.UrlValidator,12,6,6,0,0.7361111111111112,0.5277777777777777,0.33333333333333337,0.25,0.043981481481481476
org.apache.wicket.Session,57,1487,0,1487,0.3073655894949209,0.6147311789898418,0.9258436281781722,0.5964912280701754,0.3394899672587161
org.apache.wicket.markup.html.image.Image,29,11,2,9,0.41379310344827586,0.8275862068965517,0.8909090909090909,0.3793103448275862,0.279667063020214
org.apache.wicket.core.util.objects.checker.CheckingObjectOutputStream,20,10,0,10,0.355,0.71,0.9555555555555556,0.45,0.3053
org.apache.wicket.ajax.attributes.AjaxRequestAttributes,36,164,0,164,0.5740176151761518,0.8519647696476964,0.7021547209337125,0.2777777777777778,0.1661697458548147
org.apache.wicket.core.util.string.ComponentRenderer,5,3,0,3,0.8,0.3999999999999999,0.0,0.4,0.0
org.apache.wicket.markup.html.link.Page1,,,,,,,,,
org.apache.wicket.core.util.file.WebApplicationPath,2,783,0,783,0.5,1.0,0.0,1.0,0.0
org.apache.wicket.page.PageManagerDecorator,9,1076,0,1076,0.3194960760016522,0.6389921520033044,0.7001556151119565,0.6666666666666666,0.29826262882505755
org.apache.wicket.markup.parser.XmlPullParser,19,882,12,870,0.469328082110037,0.938656164220074,0.8102753776501141,0.9473684210526315,0.7205399791077107
org.apache.wicket.response.NullResponse,,,,,,,,,
org.apache.wicket.model.CompoundPropertyModel,13,56,1,55,0.32005494505494503,0.6401098901098901,0.2577922077922078,0.38461538461538464,0.06346743915425233
