parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.validator,762,511,7,504,0.03998387187902882,0.0799677437580576,0.9979816584167914,0.3989501312335958,0.03183875042886701
org.apache.commons.validator.routines,369,388,7,381,0.02638784119799961,0.05277568239599917,0.9970430752017901,0.5772357723577236,0.03037393199764699
org.apache.commons.validator.util,19,115,91,24,0.06819221967963386,0.1363844393592677,0.38169336384439356,0.7368421052631579,0.03835781558373622
org.apache.commons.validator.routines.checkdigit,53,141,1,140,0.10812257460190017,0.21624514920380034,0.9811550151975684,0.8113207547169812,0.1721379347943127
