parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.text.beta,537,464,0.08665105386416862,0.0230767995890323,0.04615359917806461,0.9916213599463767,0.6759776536312849,0.030937398149653968
org.apache.commons.text.beta.diff,28,5,0.0,0.7857142857142857,0.4285714285714286,0.9,0.17857142857142858,0.06887755102040817
org.apache.commons.text.beta.similarity,60,105,0.3815789473684211,0.04523809523809524,0.09047619047619049,0.854029304029304,0.5333333333333333,0.04121030292458864
org.apache.commons.text.beta.translate,57,56,0.07692307692307693,0.10432330827067669,0.2086466165413534,0.974025974025974,0.7719298245614035,0.15687715529425067
