parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.io.comparator,62,69,0,69,0.0638148667601683,0.12762973352033657,0.9901960784313726,0.7741935483870968,0.09784138964367357
org.apache.commons.io.serialization,28,30,1,29,0.2773809523809524,0.5547619047619048,0.967816091954023,0.7142857142857143,0.38350535616545467
org.apache.commons.io.output,194,367,3,364,0.05052108205286665,0.1010421641057333,0.9604085704501124,0.5979381443298969,0.058024970126499306
org.apache.commons.io.input,316,252,11,241,0.027589411291942936,0.055178822583885845,0.991431100992854,0.49050632911392406,0.02683363964558181
org.apache.commons.io,1294,1176,47,1129,0.009148713581259398,0.01829742716251881,0.997524967433782,0.615919629057187,0.011241851565863693
org.apache.commons.io.filefilter,158,85,2,83,0.0612807148175726,0.12256142963514516,0.9941176470588236,0.6329113924050633,0.07711422787914941
org.apache.commons.io.input.compatibility,29,7,0,7,0.5763546798029556,0.8472906403940887,0.47619047619047616,0.10344827586206896,0.041738455191827034
org.apache.commons.io.monitor,79,11,0,11,0.42117376294591485,0.8423475258918297,1.0,0.24050632911392406,0.20258991129044007
