parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.fileupload.disk,33,33,0.03125,0.31955922865013775,0.6391184573002755,0.9545454545454546,0.5757575757575758,0.3512510529790771
org.apache.commons.fileupload,269,72,0.38461538461538464,0.11771995043370508,0.23543990086741018,0.9534428794992176,0.24535315985130113,0.055076508565480436
org.apache.commons.fileupload.util,27,57,0.8387096774193549,0.12800519818063677,0.25601039636127354,0.893483709273183,0.48148148148148145,0.11013461263680704
org.apache.commons.fileupload.util.mime,10,54,3.909090909090909,0.1425925925925926,0.2851851851851852,0.7309573724668064,0.7,0.14592074954059578
org.apache.commons.fileupload.servlet,13,22,0.0,0.5629370629370629,0.8741258741258742,0.7186147186147186,0.6923076923076923,0.4348798055091761
