parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
nl.tudelft.jpacman.level,9,17,0.5454545454545454,0.33986928104575165,0.6797385620915033,0.7647058823529411,0.6666666666666666,0.3465333845956683
nl.tudelft.jpacman,51,41,0.36666666666666664,0.10712577714012435,0.21425155428024867,0.9390243902439024,0.39215686274509803,0.07889703337914465
nl.tudelft.jpacman.ui,10,1,0.0,0.9,0.19999999999999996,0,0.2,0.0
nl.tudelft.jpacman.npc.ghost,9,10,0.6666666666666666,0.2777777777777778,0.5555555555555556,0.8,0.4444444444444444,0.19753086419753085
nl.tudelft.jpacman.board,8,25,0.25,0.405,0.81,0.8733333333333333,1.0,0.7074
nl.tudelft.jpacman.game,3,1,0.0,1.0,0.0,0,0.3333333333333333,0.0
nl.tudelft.jpacman.sprite,6,17,0.0,0.49019607843137253,0.9803921568627451,0.7647058823529411,0.8333333333333334,0.6247597078046905
nl.tudelft.jpacman.cucumber,1,0,-1,0,0.0,0,0,0.0
nl.tudelft.jpacman.npc,10,10,0.6666666666666666,0.27,0.54,0.8,0.4,0.17280000000000004
