parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.collections4.list,312,1121,0.0062836624775583485,0.04925490061529312,0.09850980123058628,0.9892363323563145,0.7435897435897436,0.07246242973447044
org.apache.commons.collections4.iterators,372,4933,0.018163054695562435,0.013906780972559174,0.027813561945118304,0.9454623832839366,0.6155913978494624,0.016188007884979982
org.apache.commons.collections4.multimap,168,992,0.0,0.1155553955453149,0.23111079109062982,0.9931195273591354,0.6666666666666666,0.15301375974368145
org.apache.commons.collections4.bag,162,597,0.0,0.10233265090886531,0.20466530181773068,0.9957730486886334,0.7222222222222222,0.1471890272318707
org.apache.commons.collections4,3682,13237,0.02509099357236893,0.008399496793447267,0.016798993586894517,0.9996377270932076,0.6461162411732754,0.010850170444561668
org.apache.commons.collections4.map,764,5715,0.00035007876772273763,0.024039108985722334,0.048078217971444626,0.9924206359049361,0.7643979057591623,0.036472340760471164
org.apache.commons.collections4.comparators,66,2003,0.009576612903225807,0.07122649359294392,0.14245298718588784,0.6122704055804405,0.696969696969697,0.060789521500918896
org.apache.commons.collections4.bidimap,259,3512,0.0005698005698005698,0.10110729017334939,0.2022145803466988,0.9982451832152642,0.6756756756756757,0.1363917100047217
org.apache.commons.collections4.set,207,3310,0.0491283676703645,0.030439161084110513,0.06087832216822098,0.9380061153368229,0.6859903381642513,0.03917295586909947
org.apache.commons.collections4.keyvalue,55,2537,0.01969453376205788,0.07902676747769377,0.15805353495538754,0.8052283615736314,0.8727272727272727,0.11107129221211409
org.apache.commons.collections4.multiset,114,400,0.0,0.12390350877192982,0.2478070175438596,0.9876942355889724,0.6140350877192983,0.15028973152332967
org.apache.commons.collections4.functors,249,1850,0.8592964824120602,0.007387387387387387,0.014774774774774735,0.804081095698186,0.4939759036144578,0.0058684915743781475
org.apache.commons.collections4.splitmap,27,8,0.0,0.3888888888888889,0.7777777777777778,0.9642857142857143,0.48148148148148145,0.3611111111111111
org.apache.commons.collections4.collection,127,6614,0.17061946902654868,0.03757955565502906,0.07515911131005815,0.9425888685137004,0.7795275590551181,0.05522496084359098
org.apache.commons.collections4.trie,167,1000,0.0,0.32378443113772454,0.6475688622754491,0.9894194194194195,0.5868263473053892,0.37598973867768587
org.apache.commons.collections4.queue,66,149,0.05673758865248227,0.08562131380923327,0.17124262761846654,0.9284418646834754,0.696969696969697,0.11081039283290615
org.apache.commons.collections4.sequence,25,6,0.0,0.8533333333333334,0.2933333333333332,0.8,0.2,0.04693333333333332
org.apache.commons.collections4.trie.analyzer,11,1000,0.21506682867557717,0.6150909090909091,0.7698181818181817,0.30145745745745745,0.45454545454545453,0.1054851962706508
