parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.rng.core.source64,42,86,0.36507936507936506,0.08471760797342193,0.16943521594684385,0.9430916552667579,0.7142857142857143,0.1141378130484211
org.apache.commons.rng.core.source32,65,196,0.3706293706293706,0.0750392464678179,0.1500784929356358,0.9466248037676609,0.7384615384615385,0.10491177151380372
org.apache.commons.rng.core.util,19,123,1.1964285714285714,0.15062045357295678,0.30124090714591356,0.9156337465013994,0.9473684210526315,0.26130916459846704
org.apache.commons.rng.core,151,369,0.048295454545454544,0.04154776647104219,0.08309553294208438,0.9664781430423,0.7019867549668874,0.05637656778500301
